Date,Close,High,Low,Volume,MFI
2020-07-14,2.3186,2.35,2.18,9129466,59.179162183085275
2020-07-15,3.3278,3.98,2.41,89818704,59.67882101000126
2020-07-16,3.26,3.55,2.93,41128620,74.91059655885749
2020-07-17,3.91,4.14,3.2,71739397,77.61078527645996
2020-07-20,6.4199,7.15,4.97,235594650,77.1892418951923
2020-07-21,6.03,7.45,5.39,96073004,95.1277254319392
2020-07-22,5.38,5.59,4.81,52796357,76.83915884460292
2020-07-23,5.75,6.59,5.6,76277052,79.65892960106687
2020-07-24,5.4597,5.6,5.06,34814403,69.60140868732782
2020-07-27,4.645,5.33,4.52,24572656,66.06173976169815
2020-07-28,4.92,5.19,4.0,59726765,63.745287013948925
2020-07-29,4.3499,4.82,4.25,34805306,59.94664745069112
2020-07-30,4.65,5.2,4.4,53640012,61.59655778367552
2020-07-31,4.48,4.89,4.33,33325870,58.01176190782752
2020-08-03,4.525,4.73,4.43,13592246,55.89963480745137
2020-08-04,4.43,4.57,4.26,18571156,54.96644123653959
2020-08-05,4.36,4.8,4.31,26812333,52.87166863700185
2020-08-06,4.05,4.65,4.02,30414934,50.044284589357126
2020-08-07,3.795,4.14,3.62,31669194,45.457419042487714
2020-08-10,3.68,4.01,3.65,55674194,17.166114066526582
2020-08-11,2.77,3.7,2.6899,151626442,19.757397404999896
2020-08-12,2.47,2.94,2.34,103212214,8.509310013634966
2020-08-13,2.6501,2.78,2.45,25674630,19.364397684778023
2020-08-14,2.585,2.7274,2.5301,11336893,20.296509472790273
